"","name","height","mass","hair_color","skin_color","eye_color","birth_year","gender","homeworld","species"
"65","Bail Prestor Organa",191,NA,"black","tan","brown",67,"male","Alderaan","Human"
"66","Jango Fett",183,79,"black","tan","brown",66,"male","Concord Dawn","Human"
"67","Zam Wesell",168,55,"blonde","fair, green, yellow","yellow",NA,"female","Zolan","Clawdite"
"68","Dexter Jettster",198,102,"none","brown","yellow",NA,"male","Ojom","Besalisk"
"69","Lama Su",229,88,"none","grey","black",NA,"male","Kamino","Kaminoan"
"70","Taun We",213,NA,"none","grey","black",NA,"female","Kamino","Kaminoan"
"71","Jocasta Nu",167,NA,"white","fair","blue",NA,"female","Coruscant","Human"
"72","Ratts Tyerell",79,15,"none","grey, blue","unknown",NA,"male","Aleen Minor","Aleena"
"73","R4-P17",96,NA,"none","silver, red","red, blue",NA,"female",NA,NA
"74","Wat Tambor",193,48,"none","green, grey","unknown",NA,"male","Skako","Skakoan"
"75","San Hill",191,NA,"none","grey","gold",NA,"male","Muunilinst","Muun"
"76","Shaak Ti",178,57,"none","red, blue, white","black",NA,"female","Shili","Togruta"
"77","Grievous",216,159,"none","brown, white","green, yellow",NA,"male","Kalee","Kaleesh"
"78","Tarfful",234,136,"brown","brown","blue",NA,"male","Kashyyyk","Wookiee"
"79","Raymus Antilles",188,79,"brown","light","brown",NA,"male","Alderaan","Human"
"80","Sly Moore",178,48,"none","pale","white",NA,"female","Umbara",NA
"81","Tion Medon",206,80,"none","grey","black",NA,"male","Utapau","Pau'an"
"82","Finn",NA,NA,"black","dark","dark",NA,"male",NA,"Human"
"83","Rey",NA,NA,"brown","light","hazel",NA,"female",NA,"Human"
"84","Poe Dameron",NA,NA,"brown","light","brown",NA,"male",NA,"Human"
"85","BB8",NA,NA,"none","none","black",NA,"none",NA,"Droid"
"86","Captain Phasma",NA,NA,"unknown","unknown","unknown",NA,"female",NA,NA
"87","Padmé Amidala",165,45,"brown","light","brown",46,"female","Naboo","Human"
